,square_id,number of supermarket,sup_per_pop
157,sq5-10,0.01,0.01
158,sq5-11,0.01,0.01
159,sq5-12,0.01,0.01
160,sq5-13,1.0,0.026282255495380696
161,sq5-14,4.0,0.06379277015271602
162,sq5-15,0.01,0.01
163,sq5-16,2.0,0.01999420457838308
164,sq5-17,5.0,0.033025230085687085
165,sq5-18,0.01,0.01
166,sq5-19,0.01,0.01
167,sq5-20,5.0,0.03995378838933282
168,sq5-21,5.0,0.04453681710213777
169,sq5-22,8.0,0.14475271411338964
170,sq5-23,12.0,1.1550995775497888
171,sq5-24,0.01,0.01
172,sq5-25,1.0,0.011658570437196392
173,sq5-26,0.01,0.01
174,sq5-27,2.0,0.035829567462879276
175,sq5-28,0.01,0.01
176,sq5-29,0.01,0.01
177,sq5-30,0.01,0.01
178,sq5-31,0.01,0.01
179,sq5-32,0.01,0.01
180,sq5-33,0.01,0.01
181,sq5-34,0.01,0.01
182,sq5-35,0.01,0.01
183,sq5-36,0.01,0.01
184,sq5-37,0.01,0.01
185,sq6-1,0.01,0.01
186,sq6-2,0.01,0.01
187,sq6-3,0.01,0.01
188,sq6-4,0.01,0.01
189,sq6-5,0.01,0.01
190,sq6-6,0.01,0.01
191,sq6-7,0.01,0.01
192,sq6-8,0.01,0.01
193,sq6-9,0.01,0.01
194,sq6-10,0.01,0.01
195,sq6-11,0.01,0.01
196,sq6-12,2.0,0.019619465354750756
197,sq6-13,1.0,0.011781506604784006
198,sq6-14,2.0,0.03683976919662672
199,sq6-15,7.0,0.06692902474849652
200,sq6-16,0.01,0.01
201,sq6-17,1.0,0.012216991705895538
202,sq6-18,2.0,0.05026455026455026
203,sq6-19,3.0,0.26646868250539957
204,sq6-20,2.0,0.017869236780411565
205,sq6-21,11.0,0.054820587169264225
206,sq6-22,3.0,0.12135327286099533
207,sq6-23,0.01,0.01
208,sq6-24,2.0,0.01506785003688717
209,sq6-25,3.0,0.03222127174222983
210,sq6-26,0.01,0.01
211,sq6-27,0.01,0.01
212,sq6-28,0.01,0.01
213,sq6-29,0.01,0.01
214,sq6-30,0.01,0.01
215,sq6-31,0.01,0.01
216,sq6-32,0.01,0.01
217,sq6-33,0.01,0.01
218,sq6-34,0.01,0.01
219,sq6-35,0.01,0.01
220,sq6-36,0.01,0.01
221,sq6-37,0.01,0.01
222,sq7-1,0.01,0.01
223,sq7-2,0.01,0.01
224,sq7-3,0.01,0.01
225,sq7-4,0.01,0.01
226,sq7-5,0.01,0.01
227,sq7-6,0.01,0.01
228,sq7-7,0.01,0.01
229,sq7-8,1.0,0.1607142857142857
230,sq7-9,1.0,0.011913007341737083
231,sq7-10,0.01,0.01
232,sq7-11,1.0,0.007799205899035735
233,sq7-12,8.0,0.06992786056553105
234,sq7-13,9.0,0.08068318894615638
235,sq7-14,1.0,0.025176323542540846
236,sq7-15,3.0,1.3711507293354943
237,sq7-16,0.01,0.01
238,sq7-17,8.0,0.46540880503144655
239,sq7-18,2.0,0.21125432254008172
240,sq7-19,3.0,0.11333186909729849
241,sq7-20,3.0,0.037932615173046066
242,sq7-21,0.01,0.01
243,sq7-22,0.01,0.01
244,sq7-23,5.0,0.033924425586422224
245,sq7-24,0.01,0.01
246,sq7-25,0.01,0.01
247,sq7-26,0.01,0.01
248,sq7-27,0.01,0.01
249,sq7-28,0.01,0.01
250,sq7-29,0.01,0.01
251,sq7-30,0.01,0.01
252,sq7-31,0.01,0.01
253,sq7-32,0.01,0.01
254,sq7-33,0.01,0.01
255,sq7-34,0.01,0.01
256,sq7-35,0.01,0.01
257,sq7-36,0.01,0.01
258,sq7-37,0.01,0.01
259,sq8-1,1.0,0.013648364433704749
260,sq8-2,0.01,0.01
261,sq8-3,4.0,0.044986072423398325
262,sq8-4,0.01,0.01
263,sq8-5,5.0,0.07813623507981401
264,sq8-6,0.01,0.01
265,sq8-7,0.01,0.01
266,sq8-8,0.01,0.01
267,sq8-9,0.01,0.01
268,sq8-10,2.0,0.11207519884309473
269,sq8-11,0.01,0.01
270,sq8-12,2.0,0.03915519696250593
271,sq8-13,0.01,0.01
272,sq8-14,0.01,0.01
273,sq8-15,0.01,0.01
274,sq8-16,0.01,0.01
275,sq8-17,0.01,0.01
276,sq8-18,1.0,0.012084479809622963
277,sq8-19,1.0,0.010007794232268122
278,sq8-20,1.0,0.007787059323233754
279,sq8-21,2.0,0.013272734585528696
280,sq8-22,0.01,0.01
281,sq8-23,2.0,0.015693919824540027
282,sq8-24,0.01,0.01
283,sq8-25,0.01,0.01
284,sq8-26,0.01,0.01
285,sq8-27,0.01,0.01
286,sq8-28,0.01,0.01
287,sq8-29,0.01,0.01
288,sq8-30,0.01,0.01
289,sq8-31,0.01,0.01
290,sq8-32,0.01,0.01
291,sq8-33,0.01,0.01
292,sq8-34,1.0,0.04129645851583031
293,sq8-35,2.0,0.7830687830687831
294,sq8-36,1.0,0.03261600537995965
295,sq8-37,0.01,0.01
296,sq9-1,0.01,0.01
297,sq9-2,3.0,0.44094138543516875
298,sq9-3,2.0,0.02991588997499432
299,sq9-4,4.0,0.1262341976561779
300,sq9-5,2.0,0.025004721435316336
301,sq9-6,0.01,0.01
302,sq9-7,0.01,0.01
303,sq9-8,1.0,0.36851063829787234
304,sq9-9,0.01,0.01
305,sq9-10,0.01,0.01
306,sq9-11,0.01,0.01
307,sq9-12,0.01,0.01
308,sq9-13,0.01,0.01
309,sq9-14,0.01,0.01
310,sq9-15,1.0,0.01683725690890481
311,sq9-16,1.0,0.015697840357720483
312,sq9-17,0.01,0.01
313,sq9-18,0.01,0.01
314,sq9-19,0.01,0.01
315,sq9-20,0.01,0.01
316,sq9-21,0.01,0.01
317,sq9-22,2.0,0.03074343208496367
318,sq9-23,0.01,0.01
319,sq9-24,0.01,0.01
320,sq9-25,0.01,0.01
321,sq9-26,0.01,0.01
322,sq9-27,0.01,0.01
323,sq9-28,0.01,0.01
324,sq9-29,0.01,0.01
325,sq9-30,0.01,0.01
326,sq9-31,0.01,0.01
327,sq9-32,0.01,0.01
328,sq9-33,2.0,0.021810063541130003
329,sq9-34,0.01,0.01
330,sq9-35,1.0,0.0949585635359116
331,sq9-36,6.0,1.0
332,sq9-37,0.01,0.01
333,sq10-1,0.01,0.01
334,sq10-2,0.01,0.01
335,sq10-3,0.01,0.01
336,sq10-4,0.01,0.01
337,sq10-5,0.01,0.01
338,sq10-6,0.01,0.01
339,sq10-7,1.0,0.045409674234945706
340,sq10-8,0.01,0.01
341,sq10-9,0.01,0.01
342,sq10-10,0.01,0.01
343,sq10-11,1.0,0.021765017200317545
344,sq10-12,0.01,0.01
345,sq10-13,0.01,0.01
346,sq10-14,0.01,0.01
347,sq10-15,4.0,0.055123482057579484
348,sq10-16,0.01,0.01
349,sq10-17,0.01,0.01
350,sq10-18,0.01,0.01
351,sq10-19,0.01,0.01
352,sq10-20,0.01,0.01
353,sq10-21,0.01,0.01
354,sq10-22,0.01,0.01
355,sq10-23,0.01,0.01
356,sq10-24,0.01,0.01
357,sq10-25,4.0,0.03228962818003914
358,sq10-26,0.01,0.01
359,sq10-27,1.0,0.010917308549239288
360,sq10-28,0.01,0.01
361,sq10-29,1.0,0.012603116406966087
362,sq10-30,7.0,0.07940327237728585
363,sq10-31,0.01,0.01
364,sq10-32,0.01,0.01
365,sq10-33,1.0,0.011828575537499102
366,sq10-34,1.0,0.05901759530791789
367,sq10-35,0.01,0.01
368,sq10-36,0.01,0.01
369,sq10-37,1.0,0.11372745490981964
370,sq11-1,0.01,0.01
371,sq11-2,0.01,0.01
372,sq11-3,0.01,0.01
373,sq11-4,0.01,0.01
374,sq11-5,0.01,0.01
375,sq11-6,1.0,0.016200505074569972
376,sq11-7,1.0,0.011418085431746355
377,sq11-8,2.0,0.06051044083526682
378,sq11-9,0.01,0.01
379,sq11-10,0.01,0.01
380,sq11-11,0.01,0.01
381,sq11-12,0.01,0.01
382,sq11-13,0.01,0.01
383,sq11-14,0.01,0.01
384,sq11-15,0.01,0.01
385,sq11-16,0.01,0.01
386,sq11-17,2.0,0.14788732394366197
387,sq11-18,0.01,0.01
388,sq11-19,0.01,0.01
389,sq11-20,2.0,0.030533586945640203
390,sq11-21,1.0,0.013912412291313814
391,sq11-22,0.01,0.01
392,sq11-23,0.01,0.01
393,sq11-24,12.0,0.15721761026084904
394,sq11-25,2.0,0.026375193061660925
395,sq11-26,0.01,0.01
396,sq11-27,0.01,0.01
397,sq11-28,2.0,0.023345205769298584
398,sq11-29,0.01,0.01
399,sq11-30,0.01,0.01
400,sq11-31,0.01,0.01
401,sq11-32,1.0,0.0159007659007659
402,sq11-33,0.01,0.01
403,sq11-34,11.0,0.432289653395181
404,sq11-35,1.0,0.021411282815118227
405,sq11-36,1.0,0.018507907403162962
406,sq11-37,0.01,0.01
407,sq12-1,0.01,0.01
408,sq12-2,0.01,0.01
409,sq12-3,0.01,0.01
410,sq12-4,0.01,0.01
411,sq12-5,0.01,0.01
412,sq12-6,0.01,0.01
413,sq12-7,0.01,0.01
414,sq12-8,0.01,0.01
415,sq12-9,0.01,0.01
416,sq12-10,0.01,0.01
417,sq12-11,1.0,0.009199259430687341
418,sq12-12,0.01,0.01
419,sq12-13,0.01,0.01
420,sq12-14,0.01,0.01
421,sq12-15,0.01,0.01
422,sq12-16,0.01,0.01
423,sq12-17,0.01,0.01
424,sq12-18,0.01,0.01
425,sq12-19,0.01,0.01
426,sq12-20,0.01,0.01
427,sq12-21,0.01,0.01
428,sq12-22,0.01,0.01
429,sq12-23,7.0,0.07613711272247858
430,sq12-24,2.0,0.01917044266294876
431,sq12-25,2.0,0.03619853215574076
432,sq12-26,0.01,0.01
433,sq12-27,0.01,0.01
434,sq12-28,2.0,0.16102514506769827
435,sq12-29,0.01,0.01
436,sq12-30,0.01,0.01
437,sq12-31,0.01,0.01
438,sq12-32,1.0,0.024900398406374504
439,sq12-33,2.0,0.029575192686861443
440,sq12-34,3.0,0.06098312184304546
441,sq12-35,0.01,0.01
442,sq12-36,0.01,0.01
443,sq12-37,0.01,0.01
444,sq13-1,0.01,0.01
445,sq13-2,1.0,0.028946453407510432
446,sq13-3,0.01,0.01
447,sq13-4,0.01,0.01
448,sq13-5,0.01,0.01
449,sq13-6,0.01,0.01
450,sq13-7,0.01,0.01
451,sq13-8,0.01,0.01
452,sq13-9,0.01,0.01
453,sq13-10,0.01,0.01
454,sq13-11,0.01,0.01
455,sq13-12,0.01,0.01
456,sq13-13,0.01,0.01
457,sq13-14,0.01,0.01
458,sq13-15,0.01,0.01
459,sq13-16,2.0,0.01622117215600536
460,sq13-17,7.0,0.10295930949445131
461,sq13-18,0.01,0.01
462,sq13-19,0.01,0.01
463,sq13-20,0.01,0.01
464,sq13-21,0.01,0.01
465,sq13-22,0.01,0.01
466,sq13-23,0.01,0.01
467,sq13-24,0.01,0.01
468,sq13-25,7.0,0.0869033501334124
469,sq13-26,1.0,0.0562959272636692
