,square_id,center_lat,center_lng,hh_ha,pers_ha,pt_class,pt_dis,station_dis,noise_street
346,sq10-14,47.4049942942943,8.49453993993994,55.85585585585586,104.41741741741741,1.5375375375375375,100.51051051051051,4559.204204204204,51.054054054054056
347,sq10-15,47.40476600660067,8.499424785478547,36.726072607260726,72.56435643564356,1.5148514851485149,187.2937293729373,4268.861386138614,48.76897689768977
348,sq10-16,47.40482604501608,8.50451231511254,12.733118971061094,25.829581993569132,1.0096463022508038,170.36977491961414,4006.2379421221863,57.68488745980707
349,sq10-17,47.40541965317919,8.508943930635839,0.3468208092485549,0.4161849710982659,1.4682080924855492,242.9479768786127,3843.64161849711,43.95375722543353
350,sq10-18,47.40385333333333,8.515388000000002,0.9142857142857143,1.2190476190476192,3.2857142857142856,459.8095238095238,3415.6666666666665,34.25714285714286
351,sq10-19,47.40511428571429,8.51855876190476,0.9142857142857143,0.9142857142857143,3.6857142857142855,536.5238095238095,3413.6666666666665,30.742857142857144
352,sq10-20,47.40546220472441,8.52515251968504,4.283464566929134,7.559055118110236,3.015748031496063,223.11023622047244,3242.4409448818897,46.62992125984252
353,sq10-21,47.405212612612615,8.529975945945946,6.990990990990991,19.26126126126126,2.0855855855855854,103.73873873873873,3105.9234234234236,60.65765765765766
354,sq10-22,47.40494518950437,8.534457696793003,39.41399416909621,81.12244897959184,1.58600583090379,147.2594752186589,3010.524781341108,58.12244897959184
355,sq10-23,47.40498925373134,8.539389701492537,24.023880597014927,46.79402985074627,1.6656716417910449,209.7462686567164,2985.402985074627,50.3044776119403
356,sq10-24,47.404977575757584,8.544382878787879,31.66060606060606,62.527272727272724,1.4484848484848485,277.2121212121212,2999.621212121212,46.839393939393936
357,sq10-25,47.40493272727273,8.549350484848485,69.14848484848486,123.87878787878788,1.0,121.8030303030303,3056.9848484848485,59.49090909090909
358,sq10-26,47.40489759036144,8.554331325301204,47.8644578313253,86.87951807228916,1.3373493975903614,155.03012048192772,3160.0451807228915,59.424698795180724
359,sq10-27,47.404962099125356,8.559275335276968,42.96209912536443,91.59766763848397,1.1370262390670554,184.3148688046647,3311.3119533527697,61.61807580174927
360,sq10-28,47.405040184049085,8.564268496932515,38.9079754601227,76.42331288343559,1.177914110429448,124.75460122699387,3499.4171779141107,63.89877300613497
361,sq10-29,47.40496212121212,8.569225272727273,41.50909090909091,79.34545454545454,1.2333333333333334,103.53030303030303,3701.6666666666665,54.03939393939394
362,sq10-30,47.40491575757576,8.57419293939394,47.03636363636364,88.15757575757576,1.406060606060606,137.83333333333334,3930.8636363636365,52.915151515151514
363,sq10-31,47.40491661721068,8.579189020771514,59.57566765578635,118.0326409495549,2.00593471810089,149.73293768545994,4186.973293768546,54.48367952522255
364,sq10-32,47.404966470588235,8.584106764705881,54.12352941176471,128.5264705882353,1.4823529411764707,184.86764705882354,4459.279411764706,52.97941176470588
365,sq10-33,47.40498328267477,8.589092978723405,38.26747720364742,84.54103343465046,1.2006079027355623,158.5258358662614,4747.689969604863,54.319148936170215
366,sq10-34,47.40502888198758,8.594304130434782,8.84472049689441,16.944099378881987,1.5869565217391304,146.92546583850933,5063.0590062111805,65.1024844720497
367,sq10-35,47.40484097859327,8.59878489296636,5.577981651376147,10.568807339449542,2.8073394495412844,193.27217125382262,5327.782874617737,72.20795107033639
368,sq10-36,47.40429903846154,8.603479375,6.350961538461538,10.79326923076923,3.0,132.47596153846155,5592.9567307692305,67.24038461538461
369,sq10-37,47.40450572687225,8.609182599118943,4.797356828193832,8.79295154185022,3.2775330396475773,270.1321585903084,5958.656387665198,59.00440528634361
370,sq11-1,47.40891111111112,8.429343333333334,0.0,0.0,2.0,1042.7777777777778,9037.777777777777,54.47222222222222
371,sq11-2,47.40839999999999,8.436736785714286,2.142857142857143,9.857142857142858,2.0,857.5,8501.607142857143,62.035714285714285
372,sq11-3,47.4099968641115,8.439860662020905,5.56794425087108,12.885017421602788,2.0905923344947737,609.1637630662021,8360.400696864112,60.745644599303134
373,sq11-4,47.410226865671646,8.444693171641791,10.417910447761194,25.473880597014926,3.537313432835821,299.25373134328356,8042.350746268657,59.917910447761194
374,sq11-5,47.40999235880398,8.449622093023256,13.382059800664452,30.614617940199334,3.0199335548172757,132.67441860465115,7698.853820598007,62.69435215946844
375,sq11-6,47.409961470588236,8.45474194117647,30.538235294117648,61.726470588235294,3.3411764705882354,244.14705882352942,7356.161764705882,59.508823529411764
376,sq11-7,47.40998690476191,8.459656339285713,42.973214285714285,87.58035714285714,3.056547619047619,166.42857142857142,7034.389880952381,53.76190476190476
377,sq11-8,47.40996073619632,8.464630153374234,15.076687116564417,33.0521472392638,3.263803680981595,217.19325153374234,6711.058282208589,50.012269938650306
378,sq11-9,47.40934910714286,8.469203392857143,5.848214285714286,13.991071428571429,3.4027149321266967,269.95535714285717,6382.34375,44.986607142857146
379,sq11-10,47.40901538461539,8.474496730769232,3.2948717948717947,5.647435897435898,2.769230769230769,312.59615384615387,6030.929487179487,47.19230769230769
380,sq11-11,47.40990395136778,8.479639878419453,11.987841945288753,23.10030395136778,1.6838905775075987,165.77507598784194,5776.519756838906,57.78419452887538
381,sq11-12,47.40997499999999,8.484493035714285,30.714285714285715,64.21428571428571,1.4136904761904763,175.83333333333334,5495.372023809524,49.67559523809524
382,sq11-13,47.409681754385964,8.489605859649123,7.821052631578947,16.550877192982455,2.1824561403508773,214.43859649122808,5183.666666666667,46.27719298245614
383,sq11-14,47.40944557522124,8.494188185840708,6.238938053097345,12.610619469026549,2.9690265486725664,153.53982300884957,4915.154867256637,38.33185840707964
384,sq11-15,47.409719047619035,8.498991547619047,0.40476190476190477,0.5,3.25,204.58333333333334,4690.416666666667,42.45238095238095
385,sq11-16,47.4100623655914,8.505457634408602,1.4731182795698925,3.182795698924731,1.39247311827957,248.33333333333334,4412.3387096774195,56.5
386,sq11-17,47.40998690476191,8.509346041666666,5.875,13.523809523809524,1.3571428571428572,144.73214285714286,4236.919642857143,44.73809523809524
387,sq11-18,47.41087692307692,8.51385,20.46153846153846,54.120879120879124,1.989010989010989,178.48901098901098,4146.923076923077,47.60989010989011
388,sq11-19,47.41096864864864,8.519611621621621,3.891891891891892,9.913513513513514,1.664864864864865,250.45945945945945,3964.6216216216217,42.545945945945945
