Denner Discount,"Witikonerstrasse 299, Einkaufszentrum Witikon, Zrich",47.3584599,8.5862955,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJL6QEBCqnmkcRwHLBd3phqYw,8053,"Witikonerstrasse 299, Einkaufszentrum Witikon, 8053 Zrich, Switzerland",https://www.denner.ch/
Coop Supermarkt Zrich Witikonerstrasse,"Witikonerstrasse 409, Zrich",47.3602256,8.594670899999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJf599CtOmmkcRWHiWHxYCYGA,8053,"Witikonerstrasse 409, 8053 Zrich, Switzerland",https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-witikonerstrasse/1416_POS
migrolino Birmensdorf,"Industriestrasse 1, Birmensdorf",47.3654398,8.429690599999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4Q2NTqUOkEcRdJ334CCgdqg,8903,"Industriestrasse 1, 8903 Birmensdorf, Switzerland",http://www.migrolino.ch/
Migros Supermarkt,"Zrcherstrasse 8, Uitikon",47.3682327,8.462667099999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJCUfywF4JkEcRk_49-0QlaqM,8142,"Zrcherstrasse 8, 8142 Uitikon, Switzerland",https://filialen.migros.ch/de/migros-supermarkt-uitikon-waldegg-2
migrolino Zrich Birmensdorferstrasse,"Birmensdorferstrasse 517, Zrich",47.36741079999999,8.494410199999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJIScCroEJkEcRbsFzBtV4S_0,8055,"Birmensdorferstrasse 517, 8055 Zrich, Switzerland",http://www.migrolino.ch/
Migros Supermarkt,"Birmensdorferstrasse 320, Zrich",47.3699558,8.5087195,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJlyh8cScKkEcRY3M2wmnjbVI,8055,"Birmensdorferstrasse 320, 8055 Zrich, Switzerland",https://filialen.migros.ch/de/migros-supermarkt-zuerich-wiedikon-m-maert
Denner Discount,"Birmensdorferstrasse 406, Zrich",47.369243,8.5030427,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ1-qbi4cJkEcRC9R39anhyg4,8055,"Birmensdorferstrasse 406, 8055 Zrich, Switzerland",https://www.denner.ch/
Migros Supermarkt,"Birmensdorferstrasse 140, Zrich",47.3700773,8.520128399999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJfSSTTR4KkEcRF7QYJUbjEPU,8003,"Birmensdorferstrasse 140, 8003 Zrich, Switzerland",https://filialen.migros.ch/de/migros-supermarkt-zuerich-schmiede-wiedikon
Migros Take Away,"Birmensdorferstrasse 140, Zrich",47.3700513,8.520220199999999,"['meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",ChIJfSSTTR4KkEcR2tfL1h1o0rw,8003,"Birmensdorferstrasse 140, 8003 Zrich, Switzerland",https://filialen.migros.ch/de/take-away-zuerich-schmiede-wiedikon
Migros Supermarkt,"Stockerstrasse 47, Zrich",47.3683421,8.5341709,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJKehoGAIKkEcRoe1kqchOW68,8002,"Stockerstrasse 47, 8002 Zrich, Switzerland",https://filialen.migros.ch/de/migros-supermarkt-zuerich-stockerstrasse-m-express
Migros Bank,"Stockerstrasse 41, Zrich",47.367501,8.534496800000001,"['bank', 'finance', 'point_of_interest', 'establishment']",ChIJez3vAQIKkEcR2yCwYdhHFTw,8002,"Stockerstrasse 41, 8002 Zrich, Switzerland",https://www.migrosbank.ch/de/standorte.html/migros-bank-niederlassung-zuerich-stockerstrasse
